"","title","year","genre"
"114","...und das ist erst der Anfang",2000,"Romance"
"115","...ya no puede caminar.",2001,"Short"
"116","00 Schneider - Jagd auf Nihil Baxter",1994,"Comedy"
"117","002 agenti segretissimi",1964,"Action"
"118","002 agenti segretissimi",1964,"Comedy"
"119","002 operazione Luna",1965,"Comedy"
"120","06",1994,"Drama"
"121","06",1994,"Romance"
"122","06/05",2004,"Drama"
"123","07 con el 2 delante (Agente: Jaime Bonet)",1966,"Comedy"
"124","08/15",1954,"Drama"
"125","08/15 - In der Heimat",1955,"Drama"
"126","08/15 - Zweiter Teil",1955,"Drama"
"127","1 Giant Leap",2002,"Documentary"
"128","1+1=3",1979,"Comedy"
"129","1,000 Dollars a Minute",1935,"Comedy"
"130","1,99 - Um Supermercado Que Vende Palavras",2003,"Comedy"
"131","1,99 - Um Supermercado Que Vende Palavras",2003,"Documentary"
"132","1-2-3-4 ou Les Collants noirs",1960,"Drama"
"133","1/2 Mensch",1986,"Documentary"
"134","10",1979,"Comedy"
"135","10",1979,"Romance"
"136","10 Magnificent Killers",1977,"Action"
"137","10 Magnificent Killers",1977,"Drama"
"138","10 Rillington Place",1971,"Drama"
"139","10 Seconds",1998,"Short"
"140","10 Things I Hate About You",1999,"Comedy"
"141","10 Things I Hate About You",1999,"Romance"
"142","10 Violent Women",1982,"Action"
"143","10 Violent Women",1982,"Drama"
"144","10 from Your Show of Shows",1973,"Comedy"
"145","10 jaar leuven kort",2004,"Drama"
"146","10 jaar leuven kort",2004,"Short"
"147","10 on Ten",2004,"Documentary"
"148","10 pesos",2003,"Short"
"149","10 to Midnight",1983,"Action"
"150","10.7",1997,"Short"
"151","100 Days",2001,"Drama"
"152","100 Days",1991,"Romance"
"153","100 Girls",2000,"Comedy"
"154","100 Girls",2000,"Romance"
"155","100 Mile Rule",2002,"Comedy"
"156","100 Pro",2001,"Comedy"
"157","100 Proof",1997,"Drama"
"158","100 Years at the Movies",1994,"Documentary"
"159","100 Years at the Movies",1994,"Short"
"160","100 minuta slave",2004,"Drama"
"161","1000 Boomerangs",1995,"Drama"
"162","1000 Convicts and a Woman",1971,"Drama"
"163","1000 Rosen",1994,"Drama"
"164","1000 Shapes of a Female",1963,"Comedy"
"165","10000th Day, The",1997,"Short"
"166","1001 Arabian Nights",1959,"Animation"
"167","1001 Nights",1998,"Short"
"168","1001 nuits, Les",1990,"Drama"
"169","101",1989,"Documentary"
"170","101 Dalmatians",1996,"Comedy"
"171","101 Rent Boys",2000,"Documentary"
"172","101 Ways (The Things a Girl Will Do to Keep Her Volvo)",2000,"Comedy"
"173","101-vy kilometer",2001,"Drama"
"174","101byeonjae propose",1993,"Comedy"
"175","101byeonjae propose",1993,"Romance"
"176","102 Dalmatians",2000,"Comedy"
"177","10:10",2000,"Short"
"178","10:30 P.M. Summer",1966,"Drama"
"179","10e chambre - Instants d'audience",2004,"Documentary"
"180","11 Harrowhouse",1974,"Comedy"
"181","11 Uhr 59",2000,"Short"
"182","11 commandements, Les",2004,"Comedy"
"183","11'09''01 - September 11",2002,"Drama"
"184","11:14",2003,"Comedy"
"185","11:14",2003,"Drama"
"186","12 + 1",1969,"Comedy"
"187","12 Angry Men",1957,"Drama"
"188","12 B",2001,"Drama"
"189","12 Bucks",1998,"Drama"
"190","12 Hot Women",2003,"Comedy"
"191","12 Hot Women",2003,"Short"
"192","12 Stops on the Road to Nowhere",1999,"Comedy"
"193","12 Stops on the Road to Nowhere",1999,"Short"
"194","12 horas",2001,"Comedy"
"195","12 horas",2001,"Drama"
"196","12 mesyatsev",1956,"Animation"
"197","12 stulev",1971,"Comedy"
"198","120 Tage von Bottrop, Die",1997,"Comedy"
"199","125 rue Montmartre",1959,"Drama"
"200","12:01 PM",1990,"Short"
"201","12:35",2002,"Drama"
"202","13 Dead Men",2003,"Action"
"203","13 Going On 30",2004,"Comedy"
"204","13 Going On 30",2004,"Drama"
"205","13 Going On 30",2004,"Romance"
"206","13 Lakes",2004,"Documentary"
"207","13 Moons",2002,"Comedy"
"208","13 West Street",1962,"Drama"
"209","13. jul",1982,"Drama"
"210","13th Warrior, The",1999,"Action"
"211","14 Carrot Rabbit",1952,"Animation"
"212","14 Carrot Rabbit",1952,"Comedy"
"213","14 Carrot Rabbit",1952,"Short"
"214","14 Million Dreams",2003,"Drama"
"215","14 Million Dreams",2003,"Documentary"
"216","14 numara",1985,"Drama"
"217","14/1 endlos",1998,"Short"
"218","1492: Conquest of Paradise",1992,"Drama"
"219","14e kippetje, Het",1998,"Comedy"
"220","14e kippetje, Het",1998,"Drama"
"221","14e kippetje, Het",1998,"Romance"
"222","15",2003,"Comedy"
"223","15",2003,"Drama"
"224","15 Amore",1998,"Drama"
"225","15 Minutes",1999,"Comedy"
"226","15 Minutes",2001,"Drama"
"227","15 Minutes",1999,"Short"
"228","15' zondergrond",2000,"Short"
"229","15-Sai: Gakko IV",2000,"Drama"
"230","15.35: spoor 1",2003,"Drama"
"231","16 Days of Glory",1985,"Documentary"
"232","16 December",2002,"Action"
"233","16 December",2002,"Short"
"234","16/67: 20. September",1967,"Short"
"235","16060",1995,"Drama"
"236","17 Seconds to Sophie",1998,"Documentary"
"237","17 Seconds to Sophie",1998,"Short"
"238","17 and Under",1998,"Drama"
"239","17 rue Bleue",2001,"Drama"
"240","1776",1972,"Drama"
"241","17th Man, The",2004,"Short"
"242","18 Again!",1988,"Comedy"
"243","18 Shades of Dust",1999,"Drama"
"244","18 Weapons of Kung Fu",1977,"Action"
"245","18 Weapons of Kung Fu",1977,"Drama"
"246","18 anni tra una settimana",1991,"Drama"
"247","18-j",2004,"Drama"
"248","18-j",2004,"Documentary"
"249","1860",1934,"Drama"
"250","1871",1990,"Drama"
"251","187: Documented",1997,"Drama"
"252","187: Documented",1997,"Documentary"
"253","1895",1995,"Animation"
"254","1895",1995,"Short"
"255","19",2000,"Drama"
"256","19 Months",2002,"Comedy"
"257","1900",1976,"Drama"
"258","1918",1985,"Drama"
"259","1919",1985,"Drama"
"260","1919",1997,"Short"
"261","1925 Studio Tour",1925,"Documentary"
"262","1925 Studio Tour",1925,"Short"
"263","1939",1989,"Drama"
"264","1941",1979,"Comedy"
"265","1941",1941,"Short"
"266","1942: A Love Story",1993,"Action"
"267","1942: A Love Story",1993,"Drama"
"268","1942: A Love Story",1993,"Romance"
"269","1952: Ivan i Aleksandra",1989,"Drama"
"270","1955 Motion Picture Theatre Celebration",1955,"Documentary"
"271","1955 Motion Picture Theatre Celebration",1955,"Short"
"272","1958",1980,"Action"
"273","1958",1980,"Drama"
"274","1969",1988,"Drama"
"275","1974",2000,"Animation"
"276","1974",2000,"Short"
"277","1974, une partie de campagne",1974,"Documentary"
"278","1984",1956,"Drama"
"279","1990: I guerrieri del Bronx",1982,"Action"
"280","1991: The Year Punk Broke",1992,"Documentary"
"281","1999",1998,"Drama"
"282","1999 - Nen no natsu yasumi",1988,"Drama"
"283","1999 Madeleine",1999,"Comedy"
"284","1999 Madeleine",1999,"Romance"
"285","2 A.M. in the Subway",1905,"Comedy"
"286","2 A.M. in the Subway",1905,"Short"
"287","2 Birds with 1 Stallone",2002,"Drama"
"288","2 Days in the Valley",1996,"Drama"
"289","2 Dyuo",1997,"Drama"
"290","2 Fast 2 Furious",2003,"Action"
"291","2 G's & a Key",2000,"Action"
"292","2 Little, 2 Late",1999,"Comedy"
"293","2 Little, 2 Late",1999,"Drama"
"294","2 deputati, I",1968,"Comedy"
"295","2 minutter",2001,"Short"
"296","2 or 3 Things But Nothing for Sure",1997,"Documentary"
"297","2 or 3 Things But Nothing for Sure",1997,"Short"
"298","2 ou 3 choses que je sais d'elle",1967,"Drama"
"299","2 ryk og 1 aflevering",2003,"Comedy"
"300","2 ryk og 1 aflevering",2003,"Drama"
"301","2 secondes",1998,"Comedy"
"302","2 secondes",1998,"Drama"
"303","2 secondes",1998,"Romance"
"304","2+1",2004,"Comedy"
"305","2+1",2004,"Short"
"306","2. juledag",2000,"Short"
"307","20 Dates",1998,"Comedy"
"308","20 Dates",1998,"Documentary"
"309","20 Dates",1998,"Romance"
"310","20 Fingers",2004,"Drama"
"311","20,000 Cheers for the Chain Gang",1933,"Comedy"
"312","20,000 Cheers for the Chain Gang",1933,"Short"
"313","20,000 Leagues Under the Sea",1916,"Action"
"314","20,000 Years in Sing Sing",1932,"Drama"
"315","20/20 Vision",1999,"Comedy"
"316","20/20 Vision",1999,"Short"
"317","200 American",2003,"Romance"
"318","200 Cigarettes",1999,"Comedy"
"319","200 Cigarettes",1999,"Drama"
"320","200 Motels",1971,"Comedy"
"321","2000 Nordestes",2000,"Documentary"
"322","2000 Years Later",1969,"Comedy"
"323","20000 Leagues Under the Sea",1954,"Drama"
"324","2001 Yonggary",1999,"Action"
"325","2001: A Space Travesty",2000,"Comedy"
"326","2002: The Rape of Eden",1994,"Action"
"327","2002: The Rape of Eden",1994,"Comedy"
"328","2002: The Rape of Eden",1994,"Drama"
"329","2009: Lost Memories",2002,"Action"
"330","2009: Lost Memories",2002,"Drama"
"331","2010: The Odyssey Continues",1984,"Documentary"
"332","2010: The Odyssey Continues",1984,"Short"
"333","2019 - Dopo la caduta di New York",1983,"Action"
"334","203 kochi",1980,"Drama"
"335","2046",2004,"Drama"
"336","2046",2004,"Romance"
"337","2084",1984,"Documentary"
"338","2084",1984,"Short"
"339","20:30:40",2004,"Comedy"
"340","20:30:40",2004,"Drama"
"341","20:30:40",2004,"Romance"
"342","20h17 rue Darling",2003,"Drama"
"343","21",2000,"Comedy"
"344","21",2000,"Drama"
"345","21",2000,"Romance"
"346","21 Grams",2003,"Drama"
"347","21-87",1964,"Short"
"348","21st Century Jet: The Building of the 777",1996,"Documentary"
"349","22 June 1897",1979,"Drama"
"350","23",1998,"Drama"
"351","23 -- Skidoo",1930,"Comedy"
"352","23 -- Skidoo",1930,"Short"
"353","237",2000,"Short"
"354","24",2002,"Drama"
"355","24 7: Twenty Four Seven",1997,"Comedy"
"356","24 7: Twenty Four Seven",1997,"Drama"
"357","24 Hour Party People",2002,"Comedy"
"358","24 Hour Party People",2002,"Drama"
"359","24 Hour Woman, The",1999,"Comedy"
"360","24 Nights",1999,"Comedy"
"361","24 chasa",2000,"Drama"
"362","24 heures de la vie d'une femme",2002,"Drama"
"363","24 horas de placer",1969,"Comedy"
"364","24-Seven",1999,"Comedy"
"365","24-Seven",1999,"Short"
"366","24/24",2001,"Short"
"367","24fps",2000,"Short"
"368","25 Watts",2001,"Comedy"
"369","25 Watts",2001,"Drama"
"370","25 Ways to Quit Smoking",1989,"Animation"
"371","25 Ways to Quit Smoking",1989,"Comedy"
"372","25 Ways to Quit Smoking",1989,"Short"
"373","25th Hour",2002,"Drama"
"374","26 Summer Street",1996,"Short"
"375","27 Missing Kisses",2000,"Comedy"
"376","27 Missing Kisses",2000,"Drama"
"377","27 Missing Kisses",2000,"Romance"
"378","27A",1974,"Drama"
"379","28 Days",2000,"Drama"
"380","28 oktovriou, ora 5:30",1971,"Drama"
"381","29 Palms",2002,"Comedy"
"382","29 Palms",2002,"Drama"
"383","29th Street",1991,"Comedy"
"384","2BPerfectlyHonest",2004,"Comedy"
"385","2BPerfectlyHonest",2004,"Drama"
"386","2by4",1998,"Drama"
"387","3",1971,"Drama"
"388","3 AM",2003,"Short"
"389","3 Chinesen mit dem Kontrabass",2000,"Comedy"
"390","3 Days of Rain",2002,"Drama"
"391","3 Dumb Clucks",1937,"Comedy"
"392","3 Dumb Clucks",1937,"Short"
"393","3 Feet Under: Digging Deep for the Geoduck",2003,"Documentary"
"394","3 Godfathers",1948,"Drama"
"395","3 Men and a Little Lady",1990,"Comedy"
"396","3 Minute Wonder",2000,"Short"
"397","3 Misses",1998,"Animation"
"398","3 Misses",1998,"Comedy"
"399","3 Misses",1998,"Short"
"400","3 Ninjas",1992,"Action"
"401","3 Ninjas",1992,"Comedy"
"402","3 Ninjas Kick Back",1994,"Action"
"403","3 Ninjas Kick Back",1994,"Comedy"
"404","3 Ninjas Knuckle Up",1995,"Action"
"405","3 Ninjas Knuckle Up",1995,"Comedy"
"406","3 Ninjas: High Noon at Mega Mountain",1998,"Action"
"407","3 Ninjas: High Noon at Mega Mountain",1998,"Comedy"
"408","3 Nuts in Search of a Bolt",1964,"Comedy"
"409","3 Ring Circus",1954,"Comedy"
"410","3 Ring Wing-Ding",1968,"Animation"
"411","3 Ring Wing-Ding",1968,"Comedy"
"412","3 Ring Wing-Ding",1968,"Short"
"413","3 Strikes",2000,"Comedy"
"414","3 Tage 44",2000,"Short"
"415","3 Women",1977,"Drama"
"416","3 Worlds of Gulliver, The",1960,"Animation"
"417","3 dev adam",1973,"Action"
"418","3 hommes et un couffin",1985,"Comedy"
"419","3-4x juugatsu",1990,"Action"
"420","3-4x juugatsu",1990,"Comedy"
"421","3-Way",2004,"Drama"
"422","30 Days",1999,"Comedy"
"423","30 Days",1999,"Romance"
"424","30 Foot Bride of Candy Rock, The",1959,"Comedy"
"425","30 Frames a Second: The WTO in Seattle",2000,"Documentary"
"426","30 Is a Dangerous Age, Cynthia",1968,"Comedy"
"427","30 Is a Dangerous Age, Cynthia",1968,"Romance"
"428","30 Years of Fun",1963,"Comedy"
"429","30 Years to Life",2001,"Comedy"
"430","30 Years to Life",2001,"Drama"
"431","30 Years to Life",2001,"Romance"
"432","30 panen a Pythagoras",1977,"Comedy"
"433","30, Still Single: Contemplating Suicide",1998,"Comedy"
"434","300 Spartans, The",1962,"Drama"
"435","3000 Miles to Graceland",2001,"Action"
"436","3000 Miles to Graceland",2001,"Comedy"
"437","30:e november",1995,"Drama"
"438","31",2003,"Short"
"439","322",1969,"Drama"
"440","34-y skoryy",1981,"Action"
"441","35 Aside",1995,"Comedy"
"442","35 Aside",1995,"Short"
"443","35 Miles from Normal",1997,"Drama"
"444","36 Hours",1953,"Drama"
"445","36 fillette",1988,"Drama"
"446","36 fillette",1988,"Romance"
"447","36 ore all'inferno",1969,"Action"
"448","365 Nights in Hollywood",1934,"Comedy"
"449","37 og et halvt",2005,"Comedy"
"450","37 og et halvt",2005,"Drama"
"451","39 Pounds of Love",2005,"Documentary"
"452","39 Steps, The",1935,"Drama"
"453","39 Steps, The",1959,"Drama"
"454","3:15",1986,"Action"
"455","3:15",1986,"Drama"
"456","3:am",2005,"Short"
"457","3D",2000,"Short"
"458","3azima",2003,"Drama"
"459","3azima",2003,"Short"
"460","3rd Voice, The",1960,"Drama"
"461","4",2004,"Drama"
"462","4 Artists Paint 1 Tree: A Walt Disney 'Adventure in Art'",1964,"Documentary"
"463","4 Artists Paint 1 Tree: A Walt Disney 'Adventure in Art'",1964,"Short"
"464","4 Clowns",1970,"Comedy"
"465","4 Devils",1928,"Drama"
"466","4 Inyong shiktak",2003,"Drama"
"467","4 Little Girls",1997,"Documentary"
"468","4 P.M.",2000,"Drama"
"469","4 P.M.",2000,"Short"
"470","4 Second Delay",1998,"Drama"
"471","4 Second Delay",1998,"Short"
"472","4 a.m.: Open All Night",1999,"Short"
"473","4 aventures de Reinette et Mirabelle",1987,"Comedy"
"474","4 aventures de Reinette et Mirabelle",1987,"Drama"
"475","4 for Texas",1963,"Comedy"
"476","4 maneras de tapar un hoyo",1995,"Animation"
"477","4 maneras de tapar un hoyo",1995,"Short"
"478","4 marmittoni alle grandi manovre",1974,"Comedy"
"479","4 saisons d'Espigoule, Les",1999,"Comedy"
"480","4 saisons d'Espigoule, Les",1999,"Documentary"
"481","4 x 4",1965,"Drama"
"482","40",2002,"Short"
"483","40 Carats",1973,"Comedy"
"484","40 Days and 40 Nights",2002,"Comedy"
"485","40 Days and 40 Nights",2002,"Drama"
"486","40 Days and 40 Nights",2002,"Romance"
"487","40 Days of Musa Dagh",1982,"Drama"
"488","40 Guns to Apache Pass",1967,"Romance"
"489","40 Pounds of Trouble",1962,"Comedy"
"490","40 Quadratmeter Deutschland",1986,"Drama"
"491","40 gradi all'ombra del lenzuolo",1976,"Comedy"
"492","40 grados a la sombra",1967,"Comedy"
"493","400 Million, The",1939,"Documentary"
"494","405",2000,"Action"
"495","405",2000,"Comedy"
"496","405",2000,"Short"
"497","420",2004,"Comedy"
"498","42K",2000,"Action"
"499","42K",2000,"Comedy"
"500","42nd Street",1933,"Drama"
"501","42nd Street",1933,"Romance"
"502","42nd. Street Special, The",1933,"Documentary"
"503","42nd. Street Special, The",1933,"Short"
"504","43: The Richard Petty Story",1974,"Drama"
"505","47 morto che parla",1950,"Comedy"
"506","48 Hrs.",1982,"Action"
"507","48 Hrs.",1982,"Comedy"
"508","48 Hrs.",1982,"Drama"
"509","491",1964,"Drama"
"510","49th Man, The",1953,"Drama"
"511","49th Parallel",1941,"Drama"
"512","4D Man",1959,"Action"
"513","4D Man",1959,"Romance"
"514","4th Tenor, The",2002,"Comedy"
"515","4th Tenor, The",2002,"Romance"
"516","5 Against the House",1955,"Drama"
"517","5 Branded Women",1960,"Drama"
"518","5 Card Stud",2002,"Romance"
"519","5 Dark Souls",1996,"Action"
"520","5 Fingers",1952,"Drama"
"521","5 Millionen suchen einen Erben",1938,"Comedy"
"522","5 Steps to Danger",1957,"Drama"
"523","5 de chocolate y 1 de fresa",1968,"Comedy"
"524","50 First Dates",2004,"Comedy"
"525","50 First Dates",2004,"Romance"
"526","50 Ways to Leave Your Lover",2004,"Comedy"
"527","50 Ways to Leave Your Lover",2004,"Romance"
"528","50,000 B.C. (Before Clothing)",1963,"Comedy"
"529","50/50",1982,"Drama"
"530","500 Years Later",2005,"Documentary"
"531","500!",2001,"Comedy"
"532","50CC",2000,"Action"
"533","50CC",2000,"Romance"
"534","50CC",2000,"Short"
"535","51 Bar",1985,"Drama"
"536","51st State, The",2001,"Action"
"537","51st State, The",2001,"Comedy"
"538","52 Pick-Up",1986,"Action"
"539","52nd Street",1937,"Drama"
"540","54",1998,"Drama"
"541","55 Days at Peking",1963,"Drama"
"542","5th Ave Girl",1939,"Comedy"
"543","5th World",2005,"Drama"
"544","5x2",2004,"Drama"
"545","5x2",2004,"Romance"
"546","6 Day Bike Rider",1934,"Comedy"
"547","6 Miles of 8 Feet",1999,"Short"
"548","6 Points",2004,"Drama"
"549","633 Squadron",1964,"Drama"
"550","64,000,000 Years Ago",1981,"Animation"
"551","64,000,000 Years Ago",1981,"Short"
"552","65, 66 och jag",1936,"Comedy"
"553","66 scener fra Amerika",1982,"Documentary"
"554","66 scener fra Amerika",1982,"Short"
"555","666 mo gui fu huo",1996,"Action"
"556","681-0638",2001,"Comedy"
"557","681-0638",2001,"Drama"
"558","69",1968,"Short"
"559","69 - Sixtynine",1969,"Drama"
"560","6ix",1999,"Comedy"
"561","6ix",1999,"Short"
"562","6th Day, The",2000,"Action"
"563","7 Days In September",2002,"Documentary"
"564","7 Lucky Ninja Kids",1989,"Action"
"565","7 Lucky Ninja Kids",1989,"Comedy"
"566","7 Star Grand Mantis",1983,"Action"
"567","7 Star Grand Mantis",1983,"Comedy"
"568","7 Wise Dwarfs",1941,"Animation"
"569","7 Wise Dwarfs",1941,"Short"
"570","7 Women",1966,"Drama"
"571","7 Year Zig Zag",2003,"Drama"
"572","7 Zwerge",2004,"Comedy"
"573","7 ans de mariage",2003,"Comedy"
"574","7 fois... par jour",1971,"Comedy"
"575","7 jin gong",1994,"Action"
"576","7 pra-jan-barn",2002,"Action"
"577","7 pra-jan-barn",2002,"Comedy"
"578","7, Hyden Park: la casa maledetta",1985,"Drama"
"579","71 Fragmente einer Chronologie des Zufalls",1994,"Drama"
"580","711 Ocean Drive",1950,"Drama"
"581","72 Desperate Rebels",1972,"Action"
"582","72 Desperate Rebels",1972,"Drama"
"583","72 Faced Liar",2003,"Short"
"584","72 metra",2004,"Action"
"585","72 metra",2004,"Drama"
"586","7337",2000,"Short"
"587","76-89-03",2000,"Comedy"
"588","78 Tours",1985,"Animation"
"589","78 Tours",1985,"Short"
"590","79 primaveras",1969,"Documentary"
"591","79 primaveras",1969,"Short"
"592","7th Dawn, The",1964,"Drama"
"593","7th Street",2003,"Documentary"
"594","7th Voyage of Sinbad, The",1958,"Action"
"595","8 Ball Bunny",1950,"Animation"
"596","8 Ball Bunny",1950,"Comedy"
"597","8 Ball Bunny",1950,"Short"
"598","8 Heads in a Duffel Bag",1997,"Comedy"
"599","8 Mile",2002,"Drama"
"600","8 Million Ways to Die",1986,"Action"
"601","8 Seconds",1994,"Drama"
"602","8 femmes",2002,"Comedy"
"603","8 to 4",1981,"Comedy"
"604","80 Steps to Jonah",1969,"Drama"
"605","80's Ending",2003,"Comedy"
"606","80's Ending",2003,"Short"
"607","80,000 Suspects",1963,"Drama"
"608","800 balas",2002,"Comedy"
"609","84 Charing Cross Road",1987,"Drama"
"610","84 Charing Cross Road",1987,"Romance"
"611","89 mm od Europy",1994,"Documentary"
"612","89 mm od Europy",1994,"Short"
"613","8cht",1997,"Short"
"614","9 Mornings",2002,"Romance"
"615","9 Songs",2004,"Drama"
"616","9 Songs",2004,"Romance"
"617","9 Souls",2003,"Drama"
"618","9 dney odnogo goda",1961,"Drama"
"619","9/30/55",1977,"Drama"
"620","9/64: O Tannenbaum",1964,"Short"
"621","90",2005,"Short"
"622","90 Day Wondering",1956,"Animation"
"623","90 Day Wondering",1956,"Short"
"624","90 Miles",2001,"Documentary"
"625","900 Women",2001,"Documentary"
"626","901: After 45 Years of Working",1990,"Documentary"
"627","901: After 45 Years of Working",1990,"Short"
"628","91:an Karlsson muckar (tror han)",1959,"Comedy"
"629","91:an Karlssons bravader",1951,"Comedy"
"630","91:an och generalernas fnatt",1977,"Comedy"
"631","92 hak mooi gwai dui hak mooi gwai",1992,"Action"
"632","92 hak mooi gwai dui hak mooi gwai",1992,"Comedy"
"633","92 hak mooi gwai dui hak mooi gwai",1992,"Romance"
"634","92 in the Shade",1975,"Comedy"
"635","92 in the Shade",1975,"Drama"
"636","9413",1998,"Action"
"637","97 ga yau choi si",1997,"Comedy"
"638","976-WISH",1997,"Comedy"
"639","976-WISH",1997,"Romance"
"640","976-WISH",1997,"Short"
"641","99 Euro Films",2002,"Drama"
"642","99 River Street",1953,"Drama"
"643","99 Threadwaxing",1998,"Drama"
"644","99 Threadwaxing",1998,"Short"
"645","99 mujeres",1969,"Action"
"646","99 mujeres",1969,"Drama"
"647","999 Aliza Mizrahi",1967,"Comedy"
"648","999 Aliza Mizrahi",1967,"Drama"
"649","9:30",2004,"Short"
"650","9mm of Love",2000,"Comedy"
"651","9mm of Love",2000,"Romance"
"652","9mm of Love",2000,"Short"
"653","A",1998,"Documentary"
"654","A",2002,"Documentary"
"655","A & P",1996,"Drama"
"656","A & P",1996,"Short"
"657","A + (Amas)",2004,"Comedy"
"658","A 008, operazione Sterminio",1965,"Action"
"659","A 11-a porunca",1991,"Drama"
